Nuzvid	02	16.7885	80.8459
Nurpur	36	29.1496	78.4084
Nuh	10	28.1030	77.0014
Nurmahal	23	31.0966	75.5939
Nurpur	11	32.3015	75.8848
Nurpur Kalan	23	31.1667	76.4833
Nuvem	33	15.3174	73.9387
Nuapatna	21	20.4462	85.4690
Numaligarh	03	26.6225	93.7223
Nurpur	34	25.4241	86.0435
Nua	24	28.0439	75.2719
Nuahata	21	20.8359	85.2341
Numaligarh Refinery Township	03	26.5885	93.7443
Nuvalrevu	02	18.6779	84.4382
Nutnus	12	34.4416	74.3035
Nutimadugu	02	14.4919	77.3256
Nutan Bazar	26	23.4291	91.7542
Nuruddin	23	31.4719	74.8724
Nur Sarai	34	25.2745	85.4579
Nurpur	28	22.2166	88.0814
Nurla	41	34.3167	76.9667
Nurganj	35	23.0289	77.5220
Nuralrevu	21	19.1123	84.7763
Nurabad	35	26.4041	78.0655
Nunmati	03	26.1833	91.8000
Nunkapasi	21	20.9333	84.7333
Nunihat	38	24.4843	87.1323
Nungtak	17	24.5237	94.1654
Nungkuinu	17	24.0436	94.0763
Nungba	17	24.7435	93.4175
Nungambakkam	25	13.0606	80.2344
Nunera	37	22.3667	82.3167
Nundem	33	15.0667	74.2000
Nuliasahi	21	20.0833	86.4333
Nuggihalli	19	13.0101	76.4766
Nuapalli	21	20.2878	85.0896
Nuapalli	21	19.8543	84.9270
Nuakot	21	21.7286	85.2918
Nua Hathigurha	21	19.9375	84.4886
Nuagan	21	20.2519	84.9687
Nuagan	21	20.2167	86.5350
Nuagam	21	20.1395	84.0235
Nuagad	21	19.1003	84.0481
Nunah	11	30.8068	77.1177
Nurullahpur	28	22.3919	88.5971
Nunar	12	34.2552	74.7920
Nu Chid	12	34.1672	74.9093
Nurkot	12	33.8087	74.0612
Nurpur	12	33.8120	74.2151
Nuna Bandi	12	33.7841	74.1695
Nuripur	12	34.1062	74.6131
Nuts Labbar	12	34.0166	74.5601
Nurdin Khanun Chak	12	34.4833	74.4065
Nunial	12	33.1519	74.2086
Nurpur	12	33.7910	74.4119
Nuwan	24	28.0196	74.5687
Nunlat	12	34.5861	73.9542
Nurpura	36	29.7050	77.3805
Nundpura	24	25.9797	75.5608
Nurwala	10	29.4169	76.9880
Nuni Avval	10	28.0741	76.1141
Nutalkal	40	17.6826	78.4423
Nuhand	24	28.4276	75.5739
Nuniya Gothra	24	28.2134	75.5712
Nurpura	23	30.5730	76.2265
Nurpur Franswala	23	30.1513	76.5172
Nurpur Buchi	10	30.1151	76.6964
Nurpur	10	30.2258	76.7808
Nuna	35	25.1798	78.9818
Nuna Ka Khirk	35	25.1742	78.9759
Nurpur	36	27.8803	79.1173
Nunari	36	27.1242	79.2692
Nurpur Tarsaura	36	27.6733	79.5215
Nura	36	27.2465	79.8512
